REGIÃO,ANO,MÊS,ROUBO A TRANSEUNTE
SANTA MARIA,2024,JAN,60
SANTA MARIA,2024,FEV,46
SANTA MARIA,2024,MAR,48
SANTA MARIA,2024,ABR,53
SANTA MARIA,2024,MAI,58
SANTA MARIA,2024,JUN,42
SANTA MARIA,2024,JUL,46
SANTA MARIA,2024,AGO,76
SANTA MARIA,2024,SET,55
SANTA MARIA,2024,OUT,45
SANTA MARIA,2024,NOV,61
SANTA MARIA,2024,DEZ,39
SAO SEBASTIAO,2024,JAN,29
SAO SEBASTIAO,2024,FEV,18
SAO SEBASTIAO,2024,MAR,35
SAO SEBASTIAO,2024,ABR,33
SAO SEBASTIAO,2024,MAI,26
SAO SEBASTIAO,2024,JUN,30
SAO SEBASTIAO,2024,JUL,23
SAO SEBASTIAO,2024,AGO,26
SAO SEBASTIAO,2024,SET,38
SAO SEBASTIAO,2024,OUT,15
SAO SEBASTIAO,2024,NOV,25
SAO SEBASTIAO,2024,DEZ,17
SIA,2024,JAN,1
SIA,2024,FEV,2
SIA,2024,MAR,4
SIA,2024,ABR,2
SIA,2024,MAI,1
SIA,2024,JUN,2
SIA,2024,JUL,3
SIA,2024,AGO,3
SIA,2024,SET,1
SIA,2024,OUT,4
SIA,2024,NOV,1
SIA,2024,DEZ,0
SOBRADINHO,2024,JAN,27
SOBRADINHO,2024,FEV,14
SOBRADINHO,2024,MAR,17
SOBRADINHO,2024,ABR,22
SOBRADINHO,2024,MAI,23
SOBRADINHO,2024,JUN,32
SOBRADINHO,2024,JUL,17
SOBRADINHO,2024,AGO,17
SOBRADINHO,2024,SET,13
SOBRADINHO,2024,OUT,19
SOBRADINHO,2024,NOV,14
SOBRADINHO,2024,DEZ,12
SOBRADINHO,2024,JAN,18
SOBRADINHO,2024,FEV,7
SOBRADINHO,2024,MAR,9
SOBRADINHO,2024,ABR,12
SOBRADINHO,2024,MAI,9
SOBRADINHO,2024,JUN,7
SOBRADINHO,2024,JUL,8
SOBRADINHO,2024,AGO,6
SOBRADINHO,2024,SET,8
SOBRADINHO,2024,OUT,4
SOBRADINHO,2024,NOV,6
SOBRADINHO,2024,DEZ,3
SOL NASCENTE,2024,JAN,19
SOL NASCENTE,2024,FEV,12
SOL NASCENTE,2024,MAR,21
SOL NASCENTE,2024,ABR,22
SOL NASCENTE,2024,MAI,20
SOL NASCENTE,2024,JUN,22
SOL NASCENTE,2024,JUL,21
SOL NASCENTE,2024,AGO,18
SOL NASCENTE,2024,SET,18
SOL NASCENTE,2024,OUT,16
SOL NASCENTE,2024,NOV,15
SOL NASCENTE,2024,DEZ,9
SUDOESTE,2024,JAN,1
SUDOESTE,2024,FEV,3
SUDOESTE,2024,MAR,2
SUDOESTE,2024,ABR,2
SUDOESTE,2024,MAI,3
SUDOESTE,2024,JUN,2
SUDOESTE,2024,JUL,2
SUDOESTE,2024,AGO,2
SUDOESTE,2024,SET,3
SUDOESTE,2024,OUT,1
SUDOESTE,2024,NOV,2
SUDOESTE,2024,DEZ,0
TAGUATINGA,2024,JAN,75
TAGUATINGA,2024,FEV,95
TAGUATINGA,2024,MAR,98
TAGUATINGA,2024,ABR,97
TAGUATINGA,2024,MAI,89
TAGUATINGA,2024,JUN,93
TAGUATINGA,2024,JUL,84
TAGUATINGA,2024,AGO,73
TAGUATINGA,2024,SET,74
TAGUATINGA,2024,OUT,100
TAGUATINGA,2024,NOV,90
TAGUATINGA,2024,DEZ,91
VARJAO,2024,JAN,0
VARJAO,2024,FEV,1
VARJAO,2024,MAR,0
VARJAO,2024,ABR,0
VARJAO,2024,MAI,0
VARJAO,2024,JUN,1
VARJAO,2024,JUL,2
VARJAO,2024,AGO,0
VARJAO,2024,SET,0
VARJAO,2024,OUT,0
VARJAO,2024,NOV,0
VARJAO,2024,DEZ,0
VICENTE PIRES,2024,JAN,11
VICENTE PIRES,2024,FEV,12
VICENTE PIRES,2024,MAR,14
VICENTE PIRES,2024,ABR,10
VICENTE PIRES,2024,MAI,8
VICENTE PIRES,2024,JUN,9
VICENTE PIRES,2024,JUL,12
VICENTE PIRES,2024,AGO,8
VICENTE PIRES,2024,SET,13
VICENTE PIRES,2024,OUT,17
VICENTE PIRES,2024,NOV,7
VICENTE PIRES,2024,DEZ,20
AGUAS CLARAS,2019,JAN,34
AGUAS CLARAS,2019,FEV,23
AGUAS CLARAS,2019,MAR,34
AGUAS CLARAS,2019,ABR,26
AGUAS CLARAS,2019,MAI,36
AGUAS CLARAS,2019,JUN,30
AGUAS CLARAS,2019,JUL,27
AGUAS CLARAS,2019,AGO,43
AGUAS CLARAS,2019,SET,35
AGUAS CLARAS,2019,OUT,41
AGUAS CLARAS,2019,NOV,32
AGUAS CLARAS,2019,DEZ,17
BRASILIA,2019,JAN,178
BRASILIA,2019,FEV,222
BRASILIA,2019,MAR,343
BRASILIA,2019,ABR,240
BRASILIA,2019,MAI,254
BRASILIA,2019,JUN,217
BRASILIA,2019,JUL,171
BRASILIA,2019,AGO,251
BRASILIA,2019,SET,259
BRASILIA,2019,OUT,311
BRASILIA,2019,NOV,289
BRASILIA,2019,DEZ,217
BRAZLANDIA,2019,JAN,17
BRAZLANDIA,2019,FEV,22
BRAZLANDIA,2019,MAR,24
BRAZLANDIA,2019,ABR,30
BRAZLANDIA,2019,MAI,19
BRAZLANDIA,2019,JUN,28
BRAZLANDIA,2019,JUL,21
BRAZLANDIA,2019,AGO,22
BRAZLANDIA,2019,SET,24
BRAZLANDIA,2019,OUT,18
BRAZLANDIA,2019,NOV,13
BRAZLANDIA,2019,DEZ,30
CANDANGOLANDIA,2019,JAN,4
CANDANGOLANDIA,2019,FEV,5
CANDANGOLANDIA,2019,MAR,8
CANDANGOLANDIA,2019,ABR,3
CANDANGOLANDIA,2019,MAI,4
CANDANGOLANDIA,2019,JUN,5
CANDANGOLANDIA,2019,JUL,7
CANDANGOLANDIA,2019,AGO,4
CANDANGOLANDIA,2019,SET,6
CANDANGOLANDIA,2019,OUT,8
CANDANGOLANDIA,2019,NOV,9
CANDANGOLANDIA,2019,DEZ,4
CEILANDIA,2019,JAN,511
CEILANDIA,2019,FEV,469
CEILANDIA,2019,MAR,502
CEILANDIA,2019,ABR,568
CEILANDIA,2019,MAI,470
CEILANDIA,2019,JUN,458
CEILANDIA,2019,JUL,467
CEILANDIA,2019,AGO,517
CEILANDIA,2019,SET,465
CEILANDIA,2019,OUT,473
CEILANDIA,2019,NOV,385
CEILANDIA,2019,DEZ,397
CRUZEIRO,2019,JAN,10
CRUZEIRO,2019,FEV,4
CRUZEIRO,2019,MAR,14
CRUZEIRO,2019,ABR,9
CRUZEIRO,2019,MAI,8
CRUZEIRO,2019,JUN,12
CRUZEIRO,2019,JUL,10
CRUZEIRO,2019,AGO,14
CRUZEIRO,2019,SET,19
CRUZEIRO,2019,OUT,9
CRUZEIRO,2019,NOV,5
CRUZEIRO,2019,DEZ,6
ESTRUTURAL,2019,JAN,36
ESTRUTURAL,2019,FEV,28
ESTRUTURAL,2019,MAR,33
ESTRUTURAL,2019,ABR,39
ESTRUTURAL,2019,MAI,31
ESTRUTURAL,2019,JUN,39
ESTRUTURAL,2019,JUL,40
ESTRUTURAL,2019,AGO,35
ESTRUTURAL,2019,SET,20
ESTRUTURAL,2019,OUT,50
ESTRUTURAL,2019,NOV,36
ESTRUTURAL,2019,DEZ,21
FERCAL,2019,JAN,3
FERCAL,2019,FEV,1
FERCAL,2019,MAR,1
FERCAL,2019,ABR,2
FERCAL,2019,MAI,4
